en_td,energy_eV,f_boltzmann,f_maxwell,ratio_boltzmann_to_maxwell
5.0,0.0004076576952988106,0.07506764506698638,0.10453277653998717,0.718125429666269
5.0,0.002038288476494053,0.07506764523338122,0.10449788195190554,0.7183652322056691
5.0,0.005299550038884538,0.0750676457801671,0.10442812771684389,0.7188450795911278
5.0,0.010191442382470266,0.07506765014573133,0.10432358365869918,0.7195654857037851
5.0,0.016713965507251235,0.07506767813391127,0.10418435436768725,0.7205273631488136
5.0,0.024867119413227445,0.07506773157388247,0.10401057902596834,0.7217316957262616
5.0,0.0346509041003989,0.07506781620248704,0.10380243117578133,0.7231797497629466
5.0,0.0460653195687656,0.07506794105984317,0.10356011843062772,0.7248730708060098
5.0,0.05911036581832754,0.07506809542653405,0.10328388213017774,0.7268132633891428
5.0,0.07378604284908472,0.07506820349331388,0.10297399693970216,0.7290015511126667
5.0,0.09009235066103714,0.07506802933988868,0.10263077039495988,0.7314378431634108
5.0,0.10802928925418481,0.07506735045134558,0.1022545423935973,0.7341224037011186
5.0,0.1275968586285277,0.07506615366826344,0.10184568463423677,0.7370577745915508
5.0,0.14879505878406585,0.0750646135495166,0.10140460000454965,0.7402486035756636
5.0,0.17162388972079926,0.07506293270970826,0.10093172191972444,0.7437001101537652
5.0,0.1960833514387279,0.0750612518716366,0.1004275136128499,0.7474172084056492
5.0,0.22217344393785177,0.07505965152750936,0.09989246737883979,0.751404520251236
5.0,0.2498941672181709,0.07505807353076062,0.09932710377362589,0.7556655804826822
5.0,0.27924552127968527,0.07505607190365628,0.09873197077044274,0.7602002808002868
5.0,0.3102275061223949,0.07505325190397284,0.09810764287511742,0.7650092256268879
5.0,0.34284012174629974,0.075049206962616,0.09745472020236298,0.7700930935595286
5.0,0.37708336815139976,0.07504343606403883,0.09677382751515358,0.7754517723533045
5.0,0.4129572453376951,0.07503557747316465,0.0960656132293319,0.7810867484292902
5.0,0.4504617533051857,0.07502597736758562,0.09533074838566716,0.7870071161516831
5.0,0.4895968920538716,0.0750139912793754,0.09456992559164225,0.7932119097067881
5.0,0.5303626615837527,0.07499863940474542,0.0937838579353026,0.7996966754820827
5.0,0.5727590618948288,0.0749793296213103,0.09297327787354749,0.806461075012213
5.0,0.6167860929871004,0.07495604385063322,0.09213893609728484,0.813511063026503
5.0,0.6624437548605672,0.07492996994095985,0.09128160037590471,0.820866085086068
5.0,0.7097320475152292,0.07490008370539687,0.09040205438355456,0.8285219203936839
5.0,0.7586509709510865,0.07486516861827813,0.08950109650971891,0.8364720828883759
5.0,0.8092005251681391,0.07482491687197103,0.08857953865662034,0.8447201013546789
5.0,0.8613807101663868,0.07478132459695172,0.0876382050259657,0.8532959406778733
5.0,0.9151915259458299,0.07473332420942266,0.08667793089756025,0.8621955258455092
5.0,0.970632972506468,0.07467963976688452,0.08569956140230782,0.8714121582992542
5.0,1.0277050498483016,0.07462057118323982,0.08470395029209953,0.880957392493651
5.0,1.08640775797133,0.07455866394150475,0.0836919587090757,0.890870103789547
5.0,1.1467410968755543,0.07449295137235191,0.08266445395671823,0.9011485324920336
5.0,1.2087050665609735,0.07442304740338819,0.08162230827519903,0.9117978770272251
5.0,1.2722996670275881,0.07434998595914083,0.08056639762337105,0.9228411366573633
5.0,1.3375248982753973,0.07427346176388844,0.07949760046974466,0.9342855800050917
5.0,1.4043807603044023,0.07419302027737107,0.07841679659474189,0.946136841840157
5.0,1.4728672531146028,0.07410907427615981,0.07732486590646544,0.9584119339541365
5.0,1.542984376705998,0.07402125766109412,0.0762226872721589,0.9711184466220089
5.0,1.6147321310785885,0.07392915851472663,0.07511113736746929,0.9842636006567174
5.0,1.6881105162323746,0.07383292952514064,0.07399108954555164,0.9978624450405799
5.0,1.763119532167356,0.07373198499224028,0.07286341272798205,1.0119205542499201
5.0,1.8397591788835324,0.0736266971160574,0.07172897031936538,1.026456908390607
5.0,1.9180294563809037,0.07351693832623689,0.07058861914744186,1.041484296111226
5.0,1.9979303646594708,0.07340192935013988,0.0694432084304101,1.0570065958818256
5.0,2.079461903719233,0.07328145830925749,0.06829357877309498,1.0730358494278753
5.0,2.1626240735601905,0.07315381393829777,0.06714056119349542,1.089562146009958
5.0,2.247416874182343,0.0730190469421701,0.06598497618115333,1.1066010957055683
5.0,2.3338403055856904,0.07287641644540017,0.0648276327886866,1.124156679960065
5.0,2.421894367770234,0.07272499883890074,0.06366932775773015,1.142229726621719
5.0,2.511579060735972,0.07256462340228335,0.06251084468042821,1.1608325527074972
5.0,2.602894384482905,0.07239332961641609,0.06135295319751874,1.1799485736791535
5.0,2.695840339011034,0.0722117234219074,0.06019640823394759,1.1996018623115092
5.0,2.7904169243203585,0.07201693573396345,0.05904194927284652,1.2197587752592063
5.0,2.886624140410878,0.07180996451663108,0.057890299668604935,1.2404490031613198
5.0,2.984461987282592,0.0715878124785418,0.05674216599966086,1.2616334117201249
5.0,3.083930464935502,0.07135099484247513,0.05559823746153345,1.2833319561944834
5.0,3.1850295733696075,0.07109581568797704,0.05445918530051553,1.3054880512012366
5.0,3.2877593125849076,0.07082308471266717,0.05332566228834269,1.3281238651985672
5.0,3.392119682581403,0.0705285155650351,0.05219830223805443,1.3511649333609415
5.0,3.4981106833590934,0.07021347535582473,0.05107771956116295,1.3746399792133963
5.0,3.6057323149179803,0.06987195935473711,0.049964508866147554,1.398431825716943
5.0,3.714984577258061,0.06950636980282741,0.04885924459819667,1.4225837991239185
5.0,3.825867470379337,0.06911090696400907,0.04776248072002558,1.4469706330607874
5.0,3.938380994281809,0.0686866031353809,0.04667475043350721,1.4716008655093238
5.0,4.0525251489654766,0.068228030352076,0.045596565941764436,1.4963414227118834
5.0,4.168299934430339,0.06773182699477112,0.04452841825128679,1.52109213968798
5.0,4.285705350676396,0.06719515944366519,0.04347077701355199,1.5457547359394368
5.0,4.404741397703647,0.06660931749252245,0.04242409040555342,1.5700823955391894
5.0,4.525408075512097,0.06597775274128259,0.041388785048558675,1.5940973542440382
5.0,4.64770538410174,0.06529185433280203,0.04036526596435198,1.6175256813732783
5.0,4.771633323472578,0.06455168519102376,0.03935391656814466,1.640286172768777
5.0,4.897191893624612,0.06375560944550307,0.03835509869727307,1.6622460014693143
5.0,5.024381094557841,0.06288715456321607,0.03736915267474227,1.6828627373646972
5.0,5.153200926272265,0.06195463795398401,0.03639639740661704,1.7022189658452394
5.0,5.283651388767884,0.060953077556378354,0.03543713051220857,1.7200342317609263
5.0,5.415732482044698,0.05987222757100754,0.03449162848595674,1.735848094136364
5.0,5.549444206102708,0.05871889384672705,0.03356014688986308,1.749661407604364
5.0,5.684786560941914,0.057487244975245634,0.03264292057528916,1.761093798045869
5.0,5.821759546562314,0.056168143118686245,0.031740163932898725,1.769623598587274
5.0,5.96036316296391,0.05477036051869445,0.03085207116948998,1.7752571688884726
5.0,6.100597410146701,0.05329060930088498,0.02997881661043653,1.7776088360450129
5.0,6.242462288110687,0.05171561729715737,0.029120555026431554,1.7759145473091837
5.0,6.385957796855868,0.05005721831825887,0.028277421983210264,1.77021859871032
5.0,6.5310839363822435,0.0483181827498338,0.027449534212909948,1.7602551057900646
5.0,6.677840706689816,0.04649385074770994,0.026636990005715382,1.7454618835586888
5.0,6.826228107778584,0.04458123161428928,0.02583986962042945,1.7252885664346613
5.0,6.976246139648545,0.04258832798464008,0.025058235712604876,1.6995740830715054
5.0,7.1278948022997035,0.04052777997879273,0.02429213377887279,1.668349941907545
5.0,7.281174095732057,0.038407549469133086,0.023541592616107197,1.6314762597180692
5.0,7.436084019945604,0.036240131627180955,0.02280662479407095,1.589017750517925
5.0,7.592624574940347,0.03403796985983851,0.02208722714019937,1.541070304741352
5.0,7.750795760716285,0.031810944220519825,0.02138338123519081,1.4876479949844548
5.0,7.910597577273419,0.0295712669472195,0.02069505391808992,1.4289050448605365
5.0,8.072030024611749,0.027341736867988083,0.02002219779956897,1.3655712095990125
5.0,8.235093102731273,0.025137846336451976,0.01936475178213442,1.29812386026263
5.0,8.399786811631994,0.022976832609007746,0.018722641586011272,1.227221730622404
5.0,8.566111151313908,0.02086981152823942,0.018095780279484563,1.1532971336914284
5.0,8.734066121777017,0.01882978916824673,0.01748406881250719,1.07696837447682
5.0,8.903651723021323,0.016872686578574925,0.01688739655241522,0.9991289377379966
5.0,9.074867955046821,0.015025100118931026,0.01630564182062523,0.9214663417864098
5.0,9.247714817853517,0.01328574922777997,0.01573867242922407,0.8441467530076149
5.0,9.42219231144141,0.011655614263465392,0.015186346216398722,0.7675061596369555
5.0,9.598300435810495,0.0101370441040885,0.014648511579692502,0.6920187111802996
5.0,9.776039190960777,0.00873218426009252,0.014125008006113932,0.6182073848250451
5.0,9.955408576892255,0.007443584558196554,0.013615666598166104,0.5466926282697853
