energy_eV,eedf
0.0005811366297916252,0.051547611514237264
0.0029056831489581263,0.05154769710863881
0.007554776187291128,0.0515477808217252
0.014528415744790631,0.05154782735490649
0.02382660182145663,0.05154774558514191
0.03544933441728913,0.05154746370222943
0.04939661353228815,0.05154697345709857
0.06566843916645365,0.05154632325790427
0.08426481131978565,0.05154552374888209
0.10518572999228415,0.05154472565342431
0.1284311951839492,0.05154401983270675
0.1540012068947807,0.051543353882407515
0.18189576512477867,0.05154273833765769
0.2121148698739432,0.05154221763036679
0.24465852114227424,0.051541664868895026
0.27952671892977177,0.05154095167265296
0.31671946323643574,0.05153993003468755
0.35623675406226624,0.051538388210615266
0.3980785914072632,0.05153603440050311
0.4422449752714267,0.05153263578254974
0.48873590565475683,0.05152782858588215
0.5375513825572534,0.0515211531585836
0.5886914059789163,0.05151232773592192
0.6421559759197459,0.05150092840412613
0.6979450923797419,0.051486413778422856
0.7560587553589044,0.05146842787596459
0.8164969648572333,0.051446185662396275
0.879259720874729,0.051419357228076834
0.9443470234113911,0.05138717898281424
1.0117588724672197,0.051348868657040456
1.0814952680422145,0.05130441720110015
1.1535562101363759,0.05125366960907342
1.2279416987497043,0.05119617721478326
1.3046517338821988,0.05113124219205167
1.3836863155338597,0.05105847499432687
1.4650454437046871,0.050977462059720924
1.5487291183946812,0.05088717644178613
1.6347373396038418,0.05078713055053057
1.7230701073321688,0.05067640493240373
1.8137274215796622,0.05055512931007747
1.906709282346322,0.050423037476930055
2.0020156896321493,0.050279711865384366
2.099646643437142,0.05012441163114147
2.1996021437613016,0.04995574534683291
2.3018821906046276,0.0497733296298488
2.40648678396712,0.049576850906005915
2.513415923848779,0.04936567426254926
2.6226696102496048,0.04913962450078808
2.734247843169597,0.04889847670022709
2.848150622608755,0.04864178636257928
2.9643779485670807,0.0483691554800949
3.082929821044572,0.048080379625965154
3.2038062400412297,0.04777511674577381
3.3270072055570545,0.04745272894014422
3.4525327175920455,0.04711330298860984
3.5803827761462035,0.04675648096927439
3.710557381219527,0.0463824696369289
3.843056532812018,0.045990745082123724
3.977880230923675,0.04558150872252117
4.115028475554499,0.045153180462247845
4.254501266704488,0.04470475892757304
4.396298604373644,0.044235364488272165
4.540420488561968,0.04374549490566442
4.686866919269457,0.043234598583527906
4.835637896496113,0.042703510738367076
4.986733420241936,0.04215093411814436
5.1401534905069255,0.04157745483230247
5.29589810729108,0.04098306804997462
5.4539672705944025,0.040368445275237134
5.614360980416891,0.03973366849916901
5.777079236758547,0.03907897506786666
5.942122039619368,0.038404945112668204
6.109489388999356,0.03771108312961049
6.279181284898511,0.036998317351559847
6.451197727316831,0.036266173444007545
6.625538716254319,0.035515403339503135
6.8022042517109735,0.034745591813137314
6.981194333686794,0.03395487732718731
7.16250896218178,0.033146441358856735
7.346148137195934,0.032321278325176846
7.5321118587292535,0.03148086945406381
7.720400126781741,0.030625419543241612
7.911012941353395,0.02975517480874177
8.103950302444215,0.028872740190068705
8.2992122100542,0.02797946480073657
8.496798664183352,0.027077506438510878
8.69670966483167,0.02616797474147317
8.898945211999157,0.02525162767197279
9.103505305685811,0.024332371680932326
9.310389945891629,0.023410504171568664
9.519599132616612,0.022486240640093302
9.731132865860765,0.0215596860721647
9.944991145624083,0.02063093811648683
10.161173971906567,0.019704507002831186
10.379681344708217,0.018781158741812805
10.600513264029036,0.01786342280764564
10.82366972986902,0.01695121893340328
11.049150742228171,0.016044450183355746
11.276956301106488,0.015146727228229639
11.507086406503971,0.01425936159738648
11.73954105842062,0.013382279614754463
11.974320256856437,0.012518660637345042
12.211424001811423,0.011670743443875701
12.450852293285571,0.010842059179685861
12.692605131278887,0.010035525184305606
12.936682515791372,0.009252447865971262
13.183084446823019,0.008494532998661397
13.431810924373833,0.007764995320125454
