en_td,energy_eV,eedf
1.0,0.00020321305670055302,0.21117411432122904
1.0,0.0010160652835027651,0.2111740880018679
1.0,0.002641769737107189,0.21117392360278425
1.0,0.005080326417513825,0.2111734818626855
1.0,0.008331735324722674,0.21117267102116372
1.0,0.012395996458733734,0.2111714770700459
1.0,0.01727310981954701,0.21116985639416588
1.0,0.02296307540716249,0.211168003986911
1.0,0.029465893221580185,0.21116576668165402
1.0,0.03678156326280009,0.21116332621340192
1.0,0.04491008553082222,0.211160959897189
1.0,0.05385146002564655,0.21115899106752262
1.0,0.06360568674727309,0.21115704548065947
1.0,0.07417276569570186,0.21115521337342077
1.0,0.08555269687093284,0.21115365562763916
1.0,0.097745480272966,0.21115251288138093
1.0,0.1107511159018014,0.21115176950459658
1.0,0.12456960375743899,0.21115118622199622
1.0,0.1392009438398788,0.21115075135106728
1.0,0.15464513614912084,0.2111504838301107
1.0,0.17090218068516508,0.21115028393058372
1.0,0.18797207744801153,0.21115014833684131
1.0,0.20585482643766023,0.21115005200010262
1.0,0.2245504276541111,0.21114996728190052
1.0,0.24405888109736418,0.21114989003747206
1.0,0.2643801867674195,0.21114978902525455
1.0,0.28551434466427694,0.21114965610733294
1.0,0.30746135478793674,0.211149440225647
1.0,0.3302212171383987,0.2111491066193239
1.0,0.3537939317156628,0.2111485606377626
1.0,0.37817949851972915,0.211147713953703
1.0,0.4033779175505977,0.2111464072315907
1.0,0.42938918880826854,0.21114447033874237
1.0,0.45621331229274154,0.2111416611815196
1.0,0.48385028800401675,0.21113770222894862
1.0,0.5123001159420941,0.2111322431601973
1.0,0.5415627961069738,0.21112487625522774
1.0,0.5716383284986557,0.21111511561281626
1.0,0.6025267131171397,0.21110239963920435
1.0,0.6342279499624259,0.21108606436593186
1.0,0.6667420390345145,0.211065370030286
1.0,0.7000689803334051,0.2110394326204157
1.0,0.7342087738590981,0.21100726298636008
1.0,0.7691614196115932,0.21096769688111053
1.0,0.8049269175908905,0.2109194099826132
1.0,0.8415052677969901,0.21086084080838577
1.0,0.8788964702298918,0.21079022967812405
1.0,0.9171005248895957,0.21070542846544665
1.0,0.956117431776102,0.21060407603545064
1.0,0.9959471908894104,0.21048328283571835
1.0,1.036589802229521,0.21034221376346485
1.0,1.0780452657964337,0.21018033845606937
1.0,1.1203135815901488,0.20999542597189017
1.0,1.1633947496106662,0.20978484381713466
1.0,1.2072887698579855,0.2095457299256942
1.0,1.251995642332107,0.20927506057852302
1.0,1.2975153670330313,0.20896973711712843
1.0,1.3438479439607571,0.20862606889606786
1.0,1.3909933731152853,0.20824006849767152
1.0,1.4389516544966159,0.20780745141296494
1.0,1.4877227881047488,0.20732340722119041
1.0,1.5373067739396835,0.20678193994248084
1.0,1.5877036120014205,0.20617690667156677
1.0,1.6389133022899602,0.20550138250319264
1.0,1.6909358448053016,0.20474973919481515
1.0,1.7437712395474454,0.20391568008963398
1.0,1.7974194865163915,0.20299666569705846
1.0,1.8518805857121396,0.20198648320238835
1.0,1.90715453713469,0.20087806349417722
1.0,1.9632413407840428,0.1996634213180903
1.0,2.0201409966601975,0.1983333099489387
1.0,2.077853504763154,0.19687403502689174
1.0,2.136378865092914,0.19527056567897683
1.0,2.1957170776494754,0.19351286362321224
1.0,2.255868142432839,0.1915907486608063
1.0,2.316832059443005,0.18949413484357436
1.0,2.3786088286799734,0.18721290365676796
1.0,2.4411984501437436,0.18473693982034078
1.0,2.5046009238343157,0.18205672410568075
1.0,2.5688162497516904,0.17916454291611378
1.0,2.6338444278958675,0.1760522341351874
