en_td,max_ratio,min_ratio
5.0,1.7776088360450129,-1.2418752301953304e-11
10.0,1.6274284560312433,-3.9473300690089014e-14
20.0,1.5594680227776772,-1.2667453270848094e-14
40.0,1.5357359720217838,-3.1998695360155604e-13
80.0,1.5217123230037393,5.736025748767192e-28
120.0,1.5122642439381435,7.767760851289585e-17
200.0,1.4985249733658863,1.5469326501928052e-09
300.0,1.4916130546287816,1.2560739527999857e-06
